Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium	Copper	Gold	AlphaGamma	AlphaGammaPrime	Phase
1000	0.7025	0.0	0.1439	0.0849	0.0	0.0585	0.0	0.0	0.0102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.644367		$\gamma$
1100	0.7121999999999999	0.0	0.1202	0.0747	0.0	0.0802	0.0	0.0	0.0127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.647359		$\gamma$
25	0.7143	0.0	0.1335	0.1085	0.0	0.0384	0.0	0.0	0.0051	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	3.590816		$\gamma$
300	0.7143	0.0	0.1335	0.1085	0.0	0.0384	0.0	0.0	0.0051	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	3.603706		$\gamma$
500	0.7143	0.0	0.1335	0.1085	0.0	0.0384	0.0	0.0	0.0051	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	3.611726		$\gamma$
600	0.7143	0.0	0.1335	0.1085	0.0	0.0384	0.0	0.0	0.0051	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	3.616632		$\gamma$
700	0.7143	0.0	0.1335	0.1085	0.0	0.0384	0.0	0.0	0.0051	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	3.621658		$\gamma$
800	0.7143	0.0	0.1335	0.1085	0.0	0.0384	0.0	0.0	0.0051	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	3.627904		$\gamma$
900	0.7208	0.0	0.1217	0.1039	0.0	0.04769999999999999	0.0	0.0	0.0058	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	3.634027		$\gamma$
1000	0.7304999999999999	0.0	0.0998	0.09210000000000004	0.0	0.0699	0.0	0.0	0.0074	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	3.639476		$\gamma$
1100	0.7342	0.0	0.0815	0.0782	0.0	0.096	0.0	0.0	0.0097	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	3.642805		$\gamma$
25	0.5882999999999999	0.1243	0.147	0.0955	0.0	0.0374	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5813330000000003		$\gamma$
300	0.5882999999999999	0.1243	0.147	0.0955	0.0	0.0374	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.592781		$\gamma$
500	0.5882999999999999	0.1243	0.147	0.0955	0.0	0.0374	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.602603		$\gamma$
600	0.5882999999999999	0.1243	0.147	0.0955	0.0	0.0374	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.606834		$\gamma$
700	0.5882999999999999	0.1243	0.147	0.0955	0.0	0.0374	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.612032		$\gamma$
800	0.5882999999999999	0.1243	0.147	0.0955	0.0	0.0374	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.621038		$\gamma$
900	0.6024	0.115	0.1359	0.0926	0.0	0.0458	0.0	0.0	0.0083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.627601		$\gamma$
1000	0.6313	0.0971	0.1118	0.0828	0.0	0.0665	0.0	0.0	0.0105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.635669		$\gamma$
25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5168		$\gamma$
25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5273		$\gamma$
25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5169		$\gamma$
25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.519		$\gamma$
25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.519		$\gamma$
25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5168		$\gamma$
25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5242		$\gamma$
25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5241		$\gamma$
25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5246		$\gamma$
